"Gloucester City, NJ",4/3/2020,5.0,"Ordered from here during the pandemic, great food for pick up.. Service was nice and easy . buffalo cinnamon prosciutto pizza was delicious. Great homemade beers"
"Mount Laurel, NJ",5/15/2020,5.0,"Such a great place! I came here about 2 months ago with my fiance for a quick lunch, and everything was phenomenal.We ended up ordering way more than we wanted, but we ordered beer cheese + pretzel (delish), fries, and a 3rd item which I can't remember. We also ordered 1 beer and 1 mimosa. Our waiter was attentive however, I think he forgot about our fries for awhile. By the time they came out, we were stuffed. We parked in a free lot and walked over to vault. I love the small town vibes the street has! I felt like it was right out of a Hallmark movie! Definitely recommend!"
"Philadelphia, PA",6/21/2020,3.0,"Food is good, service subpar. We arrived and were told to wear a mask inside when going to the host stand. They weren't enforcing this, and most people weren't even wearing a mask. Whatever, but if you are going to have a rule, please enforce it. We were sat at our table, given one paper menu to share amongst the whole table of 6. Who knows if it was a new menu. It felt damp. Doesn't that defeat the purpose of a reusable menu? So everyone can have their own and toss it out after?Service was so slow, no water refills, waitress would leave before we could even ask for extra napkins and water.The duck and apple pizza was excellent. I did enjoy the pork belly fingerling fries as well. I enjoyed my blackberry drip beer, although I tasted none of the flavors noted."
"Yardley, PA",3/17/2020,5.0,Love this brewery There are no TV's which is good for great conversation The beer is very good too!
"trenton, NJ",10/27/2019,4.0,"This restaurant/bar really reminds me of my old stomping grounds in Haddon Township NJ and especially a restaurant I used to frequent called Keg and Kitchen. This restaurant is located in an old bank building, hence the name. It definitely has an interesting interior, there is also outdoor seating and more traditional seating outside the vault area. I hear it gets pretty busy at prime bar hours, however we came here around 5 pm on a Thursday evening and there was ample seating available both indoors and out. I would think it's best to come here with a group of people as they had big platters for $17-$20 that could feed probably 4-5 people and the food looked really good. They also had a really nice selection of seasonal craft beers. We got the mushroom pizza and waffle grilled cheese. The crust of the mushroom pizza was soft on the inside and crispy on the outside, just right. Keg and Kitchen makes the same pizza, mushrooms, arugula, and truffle oil, but K&K's tastes a lot better for some reason. I couldn't really put my finger on it. I think it might be the truffle oil but I'm uncertain. The waffle grilled cheese was served with a quarter bowl of tomato dipping soup. It was really good. The only thing missing was the crispy toasted flavor. The food was good, but not amazing. Drinks and atmosphere were great. Four stars."
"Washington Crossing, PA",3/13/2020,5.0,"My boyfriend and i were looking for a cool, new place togo & we found that at Vault! Awesome ambiance, good food, good drinks & great music! We will definitely be back!"
"Warrington, PA",2/23/2020,4.0,"Recently visited Vault Brewing as my dad and I have been trying out local breweries across Bucks County. I was supper excited to try this place out as it has been on my list for a while. We went on a Saturday and got there around 4 or 4:30pm & it was packed! Definitely thinking of trying to do reservations next time. We were seated right away but seating in general is really close together so things were a little tight but not unbearable.My dad & I each ordered the same beer--the Warm & Fuzzy in Bucks County, an exclusive beer for the BC Ale Trail. It was super good! I definitely want to come back to try out some of Vault's other beers. My mom got a mixed drink which she didn't end up really likening it. I felt a bit bad because she didn't end up really liking her meal either. She said it didn't have anything to do with the restaurant, just that she thought she'd like it but ended up not liking the chicken. We did all however love the raspberry chipotle chicken bites. They were soooo good! I'd definitely recommend them!My dad ordered the crab cake sliders & I ordered the waffle grilled cheese. We both really liked our meals!My mom & I also ordered dessert. I got the s'more wIth peanut butter & my mom got the special: a strawberry mousse dessert. We both really loved the desserts (although the s'more was a bit messy to eat-be warned lol).Overall, good food & good beers. Will be back!"
"Philadelphia, PA",5/16/2019,4.0,"We were in the area so decided to stop in and try them out. There's indoor seating and outdoor patio seating, and most of the people were seated outside with a pup accompanying them on this warm Saturday afternoon. No wait to be seated, but there was a good amount of people there. They only let you sit inside if you're ordering food? Okay.They had a good amount of beer for a small brewery, but not too much variety. The most unique one they had was a sweet potato beer, although everything did taste pretty good. Two flights, and we were able to try just about everything. They also have sangria, wine, ciders, and cocktails.We also split the hummus to have with the beer. It came with black bean hummus, red pepper hummus, and avocado hummus- and they were all tasty, although the avocado hummus was different. It was served with pita bread, carrots, celery, and I believe what was little pieces of red bell pepper, which was a nice touch.Everything was very summery, so they probably rotate based on the season. I'd definitely come back another season to try some more of their brews."
"Philadelphia, PA",11/7/2019,5.0,"I was craving oven brick pizza and found this place on the internet. I decided to try it for the first time tonight and this place did not disappoint. The pizza was flavorful and even the Cuban sandwich was great! Not to mention, the service was good too. I wanted to switch table and the waiter had no problem with it. The food came out pretty quick! Highly recommend!"
"Universal City, TX",9/13/2019,4.0,"Clearly a locals' eatery and bar, the folks at Vault made this out-of-towner feel welcome. From the moment I walked in and was greeted by a polite and friendly hostess, to the fact the servers kept an eye on each other's tables ensuring my drink was never empty... the service was exceptional.I ordered the Cuban and opted for the caprese upgrade as my side. The mozzarella, tomato, and basil medley was refreshing, with the sweetness of the balsamic balancing it nicely. The Cuban was delicious... a perfect combination of salty and briny, pickled goodness. Though I would have preferred a yellow mustard option to the Vault's stone ground.I usually take my Old Fashioned with rye, but I have no complaints about the house's bourbon Old Fashioned. It was executed perfectly with hints of bitters and orange.My only real complaint is the seating options. Unless dining outside, you'll be seated at a high top table inside. The chairs are uncomfortable. It's unfortunate because had I been more comfortable, I would have happily ordered dessert and another drink. A small annoyance in an otherwise great experience. Cheers!"
